200922-949-52	\sqrt { \gamma }
MfrDB1289	\lim \limits _ { n \rightarrow \infty } x _ { n } = L
formulaire032-equation072	1 = \frac { p e ^ { \frac { p } { q } } } { q }
200923-1556-239	\frac { R } { \frac { n } { n } }
TrainData2_1_sub_63	\frac { 1 } { a } F ( a x + b ) + C
MfrDB3069	\lim \limits _ { x \rightarrow c } f ( x ) = f ( c )
200923-1556-204	- v - \sqrt { z B } ^ { t } i _ { n q k }
MfrDB1932	A ( x ) = \frac { 1 } { x } + \frac { 1 } { x ^ { 2 } } + B ( x )
2009213-139-32	a x ^ { 4 } + b x + c = 0
formulaire003-equation020	1 9 \times 7 \leq 1 3 3
2009212-952-32	a x ^ { 4 } + b x + c = 0
formulaire038-equation005	( 1 3 5 \times ( 1 6 8 \div 1 4 9 ) ) + 6 7 = 2 1 9 . 2 1
formulaire030-equation005	1 4 8 \times 1 3 3 \leq 1 9 6 8 4
formulaire033-equation043	( x - a ) ^ { 2 } + ( y - b ) ^ { 2 } = r ^ { 2 }
107_jorge	a ^ { 2 } + b ^ { 2 } = ( a + b i ) ( a - b i )
MfrDB1912	t g 2 x = \frac { 2 \cdot t g x } { 1 - t g ^ { 2 } x }
MfrDB1870	t = \frac { t _ { 0 } } { \sqrt { 1 - \frac { v ^ { 2 } } { c ^ { 2 } } } }
formulaire014-equation020	1 0 3 \pm ( 6 7 \div 1 7 5 ) \times 1 5 3
107_alfonso	a ^ { 2 } + b ^ { 2 } = ( a + b i ) ( a - b i )
formulaire015-equation031	e ^ { - z } = \cos ( z ) - \sin ( z )
200923-1253-156	\frac { \cdots - H } { V \sum T }
2009220-1327-2	\int e ^ { x ^ { 2 } } x ^ { 3 } d x
formulaire030-equation038	\sum \limits _ { k = 1 } ^ { n } c _ { k } ^ { s } = 1
formulaire002-equation001	\gamma = 1 + \frac { 1 } { n }
KME2G3_25_sub_96	[ b ^ { x } \{ ( \frac { a } { b } ) ^ { x } + 1 \} ] ^ { \frac { 1 } { x } }
formulaire020-equation022	\lim \limits _ { n \rightarrow + \infty } u _ { n }
formulaire030-equation020	5 / ( 3 7 + 3 6 + 8 ) = 0 . 0 6
109_silas	\sqrt [ x ] { \frac { a } { b } } = \frac { \sqrt [ x ] { a } } { \sqrt [ x ] { b } }
formulaire005-equation004	t ^ { 5 } + t - a
200922-949-18	a ^ { x } + b ^ { x } + \frac { c } { 2 }
formulaire012-equation040	1 4 \pm 1 7 3 + 8 6 - 6 1 + 1 7 8
200923-1254-18	a ^ { x } + b ^ { x } + \frac { c } { 2 }
MfrDB1742	\sin x = \sin ( x + 2 \pi k )
MfrDB1510	| \sin z | = \sqrt { 1 - \cos ^ { 2 } z }
formulaire011-equation006	3 \times 4 \times 5 \times 6 = 3 6 0
KME2G3_7_sub_35	\log _ { 2 } \frac { 1 } { 2 } + \log _ { 4 } \frac { 2 } { 4 }
TrainData2_2_sub_33	\log _ { 2 } 8 + \log _ { 3 } 9 + \log _ { 4 } 1 6
MfrDB2996	\lim \limits _ { x \rightarrow c } f ( x ) = f ( c )
formulaire006-equation005	3 0 - 1 8 0 + 7 0 \neq 2 9 4
formulaire003-equation021	y = \frac { 1 } { x ^ { 2 } + 1 }
200923-1253-13	\sqrt { 1 + \sqrt { 1 + z ^ { 2 } } }
200923-131-32	a x ^ { 4 } + b x + c = 0
MfrDB3075	\sqrt [ n ] { \frac { n + 1 } { ( n - 1 ) ^ { 2 } } }
KME2G3_0_sub_30	\sum \limits _ { i = 2 n + 3 m } ^ { 1 0 } i x
formulaire011-equation035	3 6 - 7 3 + 1 7 5 \leq 1 3 8
TrainData2_4_sub_15	( x ^ { 3 } - x ^ { 2 } - x ) ( 2 x - 7 )
200925-1126-147	\frac { \sigma + Y } { n j }
2009220-1327-44	\sin ( \frac { \pi } { 4 } ) = \frac { 1 } { \sqrt { 2 } }
MfrDB3482	\sum \limits _ { n = 1 } ^ { \infty } ( b _ { n } - b _ { n + 1 } )
2009213-139-127	- z + \frac { S } { \alpha }
MfrDB0100	y ^ { 2 } = x ^ { 3 } + a x + b
MfrDB1871	s = s _ { 0 } t + \frac { 1 } { 2 } a t ^ { 2 }
formulaire029-equation026	\int \limits _ { a } ^ { b } x + z d z
MfrDB2007	\frac { ( x + 3 ) ( x - 5 ) } { 3 ( x - 1 ) } > 0
KME2G3_14_sub_35	\log _ { 2 } \frac { 1 } { 2 } + \log _ { 4 } \frac { 2 } { 4 }
formulaire017-equation008	x = \frac { 7 \times 8 } { 5 }
MfrDB3186	h ( x , y ) = x ^ { y + \frac { 1 } { y } }
MfrDB2001	A ( x ) = \frac { 1 } { x } + \frac { 1 } { x ^ { 2 } } + B ( x )
MfrDB3822	\frac { ( | a | - | b | ) ^ { 2 } } { | a - b | }
MfrDB2820	\frac { \sin x } { \cos x } = t g x
formulaire010-equation047	f ( x h x ^ { - 1 } ) = f ( x ) f ( x ^ { - 1 } )
MfrDB1125	\sum \limits _ { k = 0 } ^ { 1 2 7 } ( k + 2 k ^ { 2 } )
KME2G3_0_sub_35	\log _ { 2 } \frac { 1 } { 2 } + \log _ { 4 } \frac { 2 } { 4 }
MfrDB0004	\sum \limits _ { n = 0 } ^ { \infty } \frac { 1 } { n ! } = e
MfrDB1837	\frac { 5 x - 7 } { 3 } \leq 2 x + 5
KME2G3_12_sub_30	\sum \limits _ { i = 2 n + 3 m } ^ { 1 0 } i x
107_daniel	a ^ { 2 } + b ^ { 2 } = ( a + b i ) ( a - b i )
MfrDB1316	A ( x ) = \frac { 1 } { x } + \frac { 1 } { x ^ { 2 } } + B ( x )
MfrDB2928	( x + 1 ) ^ { n + 1 } = ( x + 1 ) ( x + 1 ) ^ { n }
KME2G3_9_sub_30	\sum \limits _ { i = 2 n + 3 m } ^ { 1 0 } i x
MfrDB1901	\frac { 5 x - 7 } { 3 } \leq 2 x + 5
KME2G3_25_sub_81	\pi \int \limits _ { c } ^ { d } \{ g ( y ) \} ^ { 2 } d y
KME2G3_18_sub_26	x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
KME2G3_17_sub_26	x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
2009213-137-32	a x ^ { 4 } + b x + c = 0
200922-1017-55	\frac { 1 } { \sin ( x ) + 1 }
TrainData1_2_sub_5	e ^ { i \pi } + 1 = 0
MfrDB3065	h ( x , y ) = x ^ { y + \frac { 1 } { y } }
107_david	a ^ { 2 } + b ^ { 2 } = ( a + b i ) ( a - b i )
MfrDB3381	x _ { 1 } = \frac { ( 1 - \frac { 2 } { \sqrt { N - 1 } } ) N } { L }
KME2G3_23_sub_35	\log _ { 2 } \frac { 1 } { 2 } + \log _ { 4 } \frac { 2 } { 4 }
MfrDB0420	4 4 + f = 5 5 + x + y
2009220-1327-24	\int e ^ { - z ^ { 2 } } d z = e r f ( z )
formulaire001-equation060	4 2 - 8 5 - 1 8 \geq - 2 5
formulaire015-equation065	( 1 2 0 - 6 9 ) - ( ( 1 7 1 + 6 0 ) \times ( 2 4 / 9 7 ) ) \neq 0
200922-947-61	k ^ { 3 } + 1 4 k ^ { 2 } - 1 3 2 k + 1 7 8 9
MfrDB3301	g ( x , y ) = \sqrt [ 3 ] { x - y } + \sqrt { | x + y | }
MfrDB2963	( \frac { 1 } { m ^ { 2 } } - \frac { 3 m } { n } + \frac { 2 } { m n } )
formulaire026-equation004	p ^ { 2 } + 6 p + 5 = 0
MfrDB0018	\sqrt { \frac { x - 3 } { 2 } } + 2 1 ^ { x } = g ( x )
MfrDB3326	s _ { n } = \sum \limits _ { k = 1 } ^ { n } a _ { k }
95_user0	b = c \sin B = c \cos A
200926-1617-24	\int e ^ { - z ^ { 2 } } d z = e r f ( z )
MfrDB1529	x ^ { 2 } - x - 6 < 0
formulaire007-equation009	\lim \limits _ { t \rightarrow t _ { 0 } } y ( t ) = + \infty
2009220-1327-32	a x ^ { 4 } + b x + c = 0
MfrDB3375	| a + i b | = \sqrt { x ^ { 2 } + y ^ { 2 } }
formulaire027-equation040	1 0 3 \pm 1 4 4 + 1 1 3 + 2 7
TrainData2_26_sub_33	\log _ { 2 } 8 + \log _ { 3 } 9 + \log _ { 4 } 1 6
KME2G3_13_sub_35	\log _ { 2 } \frac { 1 } { 2 } + \log _ { 4 } \frac { 2 } { 4 }
200922-1017-0	\sin ^ { 2 } ( x ) + \cos ^ { 2 } ( x ) = 1
formulaire008-equation027	f ( x , y ) = \sqrt { x ^ { 2 } + y ^ { 2 } }
MfrDB2352	t g 2 x = \frac { 2 \cdot t g x } { 1 - t g ^ { 2 } x }
200923-1254-230	- Y - \frac { M } { i }
formulaire036-equation066	\sum \limits _ { i = 1 } ^ { n } \alpha _ { i } ^ { 2 } = 1
MfrDB3157	( x + 1 ) ^ { n + 1 } = ( x + 1 ) ( x + 1 ) ^ { n }
MfrDB1279	t = \frac { t _ { 0 } } { \sqrt { 1 - \frac { v ^ { 2 } } { c ^ { 2 } } } }
TrainData2_20_sub_63	\frac { 1 } { a } F ( a x + b ) + C
MfrDB2207	\frac { ( x + 3 ) ( x - 5 ) } { 3 ( x - 1 ) } > 0
118_lucelia	P ( x ) = \sum \limits _ { i = 0 } ^ { n } a _ { j } x ^ { j }
MfrDB0027	f ( g ( x , y ) , z ) = x ^ { 2 } - y + z
KME1G3_7_sub_10	\int \limits _ { a } ^ { b } \frac { \sqrt { x } } { 2 } d x
formulaire037-equation001	\beta ( 3 ) = \frac { \pi ^ { 3 } } { 3 2 }
formulaire014-equation055	3 0 \pm ( ( 1 6 5 \div 5 ) - 1 1 1 ) + 1 6 6
formulaire016-equation035	9 1 + ( ( 1 4 7 / 1 1 5 ) \times 9 7 ) \leq 2 1 5
formulaire023-equation044	( n + 1 ) \times ( m + 1 )
MfrDB3149	x _ { 1 } = \frac { ( 1 - \frac { 2 } { \sqrt { N - 1 } } ) N } { L }
200922-949-242	\sqrt { 2 } ^ { a - t ^ { v ^ { k } ( R ) } }
2009220-1327-38	\frac { 4 } { 3 } \pi r ^ { 3 }
118_david	P ( x ) = \sum \limits _ { i = 0 } ^ { n } a _ { j } x ^ { j }
TrainData1_5_sub_5	e ^ { i \pi } + 1 = 0
formulaire021-equation060	9 3 + 6 2 + 7 9 \neq - 1 2 6
200923-1556-55	\frac { 1 } { \sin ( x ) + 1 }
formulaire019-equation026	a ^ { 2 } + b ^ { 2 } = c ^ { 2 }
200926-1550-18	a ^ { x } + b ^ { x } + \frac { c } { 2 }
TrainData2_26_sub_39	\sin x - \sin y - \sin ( x - y )
formulaire019-equation065	( 5 8 / 8 8 ) \times 1 9 0 \neq - 1 0 5
200923-1251-30	\frac { - b + \sqrt { b ^ { 2 } - 4 a c } } { 2 a }
200926-1617-87	\frac { \pi } { x l }
TrainData2_11_sub_33	\log _ { 2 } 8 + \log _ { 3 } 9 + \log _ { 4 } 1 6
76_leo	a = b \cos C + c \cos B
formulaire025-equation047	\lim \limits _ { x \rightarrow a } f ( x ) = l
KME2G3_29_sub_35	\log _ { 2 } \frac { 1 } { 2 } + \log _ { 4 } \frac { 2 } { 4 }
200923-1254-240	\frac { \Delta + \sum S } { \sqrt { S } }
TrainData2_7_sub_17	x _ { 1 } - x _ { 2 } + y _ { 1 } - y _ { 2 } + z _ { 1 } - z _ { 2 }
200925-1126-0	\sin ^ { 2 } ( x ) + \cos ^ { 2 } ( x ) = 1
formulaire029-equation029	\lim ( u _ { n } ) = - \infty
TrainData2_10_sub_17	x _ { 1 } - x _ { 2 } + y _ { 1 } - y _ { 2 } + z _ { 1 } - z _ { 2 }
200923-1556-38	\frac { 4 } { 3 } \pi r ^ { 3 }
formulaire026-equation015	2 5 \times 1 0 0 \geq 2 4 9 9
75_jorge	c ^ { 2 } = a ^ { 2 } + b ^ { 2 } - 2 a b \cos C
MfrDB1509	1 + \tan ^ { 2 } y = \frac { 1 } { \cos ^ { 2 } y }
TrainData2_18_sub_33	\log _ { 2 } 8 + \log _ { 3 } 9 + \log _ { 4 } 1 6
95_david	b = c \sin B = c \cos A
formulaire035-equation000	1 8 7 \pm ( 1 5 3 \times ( 4 0 - 4 1 ) ) - ( 7 6 \times 1 6 2 )
MfrDB2388	\frac { 5 } { x + 1 } + \frac { 5 } { x ^ { 2 } + x }
TrainData2_15_sub_17	x _ { 1 } - x _ { 2 } + y _ { 1 } - y _ { 2 } + z _ { 1 } - z _ { 2 }
formulaire037-equation025	1 9 \pm 7 1 / ( ( 1 8 1 - 1 0 8 ) \times 7 2 )
TrainData2_0_sub_63	\frac { 1 } { a } F ( a x + b ) + C
formulaire021-equation068	( x ^ { 2 } + 1 ) ( x + 1 ) ( x - 1 ) ^ { 2 } = 0
MfrDB2740	\lim \limits _ { n \rightarrow \infty } n \frac { 1 } { n } = 1
MfrDB2136	s = s _ { 0 } t + \frac { 1 } { 2 } a t ^ { 2 }
formulaire035-equation008	z = r ( \cos \theta + i \sin \theta )
formulaire035-equation073	z = r ( \cos \theta + i \sin \theta )
formulaire011-equation060	( 1 4 3 - 1 3 5 - 1 9 1 ) / 5 3 \neq 1
formulaire010-equation020	1 8 6 \pm ( 1 6 6 / ( 5 0 + 1 3 7 ) ) \times 7 8
MfrDB1533	f ^ { \prime } ( x ) = \frac { 1 } { 2 \sqrt { x } }
TrainData1_1_sub_5	e ^ { i \pi } + 1 = 0
TrainData2_23_sub_6	x _ { i } - x _ { i + 1 } + x _ { i + 2 }
formulaire012-equation031	a \times 0 = 0 \times a = 0
KME2G3_20_sub_35	\log _ { 2 } \frac { 1 } { 2 } + \log _ { 4 } \frac { 2 } { 4 }
200923-1556-32	a x ^ { 4 } + b x + c = 0
MfrDB2934	\sum \limits _ { n = 1 } ^ { \infty } ( b _ { n } - b _ { n + 1 } )
MfrDB0325	\sum \limits _ { i = 1 } ^ { \infty } a _ { i } = 3
TrainData2_10_sub_33	\log _ { 2 } 8 + \log _ { 3 } 9 + \log _ { 4 } 1 6
200923-1556-0	\sin ^ { 2 } ( x ) + \cos ^ { 2 } ( x ) = 1
76_jorge	a = b \cos C + c \cos B
MfrDB3524	\int \limits _ { a } ^ { b } f ( x ) d x = F ( b ) - F ( a )
MfrDB0052	\sum \limits _ { k = 1 } ^ { n } k = \frac { n ( n + 1 ) } { 2 }
200923-1253-55	\frac { 1 } { \sin ( x ) + 1 }
95_leissi	b = c \sin B = c \cos A
KME2G3_7_sub_30	\sum \limits _ { i = 2 n + 3 m } ^ { 1 0 } i x
formulaire029-equation035	7 5 - 3 5 - 8 6 + 9 6 \geq 2 2 1
formulaire039-equation017	\beta ( t , \beta ( s , x ) ) = \beta ( t + s , x )
109_jorge	\sqrt [ x ] { \frac { a } { b } } = \frac { \sqrt [ x ] { a } } { \sqrt [ x ] { b } }
MfrDB1686	\frac { 5 x - 7 } { 3 } \leq 2 x + 5
MfrDB3325	a _ { n } = a _ { 1 } \cdot q ^ { n - 1 }
MfrDB2678	| a + i b | = \sqrt { x ^ { 2 } + y ^ { 2 } }
200922-947-62	( \sin ( x ) ^ { 2 } + 3 \cos ( x ) ^ { 2 } ) ^ { 4 }
MfrDB1322	\frac { ( x + 3 ) ( x - 5 ) } { 3 ( x - 1 ) } > 0
200923-131-80	\frac { 2 } { \sin I }
MfrDB2448	\sin x = \sin ( x + 2 \pi k )
MfrDB2958	( x + 1 ) ^ { n + 1 } = ( x + 1 ) ( x + 1 ) ^ { n }
76_caue	a = b \cos C + c \cos B
formulaire037-equation011	6 0 = 2 \times 2 \times 3 \times 5
TrainData2_26_sub_17	x _ { 1 } - x _ { 2 } + y _ { 1 } - y _ { 2 } + z _ { 1 } - z _ { 2 }
TrainData2_5_sub_39	\sin x - \sin y - \sin ( x - y )
KME2G3_11_sub_35	\log _ { 2 } \frac { 1 } { 2 } + \log _ { 4 } \frac { 2 } { 4 }
2009212-952-0	\sin ^ { 2 } ( x ) + \cos ^ { 2 } ( x ) = 1
200923-1253-61	k ^ { 3 } + 1 4 k ^ { 2 } - 1 3 2 k + 1 7 8 9
MfrDB0015	( a - b ) ^ { 2 } = a ^ { 2 } - 2 a b + b ^ { 2 }
formulaire008-equation031	f ( a b ^ { - 1 } - c d ^ { - 1 } ) = 0
107_carlos	a ^ { 2 } + b ^ { 2 } = ( a + b i ) ( a - b i )
MfrDB3820	A ( x ) = \frac { 1 } { x } + \frac { 1 } { x ^ { 2 } } + B ( x )
formulaire019-equation030	( ( 1 2 \div 1 0 ) \div 4 ) - 1 0 6 \neq 1 7 4
formulaire036-equation041	a x ^ { 2 } + 2 b x y + c y ^ { 2 }
formulaire001-equation071	a x ^ { 2 } + 2 b x + c = 0
TrainData2_12_sub_33	\log _ { 2 } 8 + \log _ { 3 } 9 + \log _ { 4 } 1 6
MfrDB2881	\int \limits _ { a } ^ { b } f ( x ) d x = F ( b ) - F ( a )
TrainData2_20_sub_17	x _ { 1 } - x _ { 2 } + y _ { 1 } - y _ { 2 } + z _ { 1 } - z _ { 2 }
formulaire037-equation021	x ^ { 2 } + y ^ { 2 } = 1
95_miguel	b = c \sin B = c \cos A
KME2G3_0_sub_26	x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
TrainData2_9_sub_63	\frac { 1 } { a } F ( a x + b ) + C
MfrDB2371	\sqrt { x y z } = \sqrt { x } \sqrt { y } \sqrt { z }
formulaire022-equation020	1 1 5 \pm 1 7 0 / ( 8 7 - 1 4 9 - 1 5 8 )
formulaire021-equation055	( 1 9 8 + 1 3 4 - 7 7 ) / 1 7 1 \leq 1
200923-1254-24	\int e ^ { - z ^ { 2 } } d z = e r f ( z )
MfrDB2803	A ( x ) = \frac { 1 } { x } + \frac { 1 } { x ^ { 2 } } + B ( x )
107_miguel	a ^ { 2 } + b ^ { 2 } = ( a + b i ) ( a - b i )
200923-1254-32	a x ^ { 4 } + b x + c = 0
KME2G3_5_sub_35	\log _ { 2 } \frac { 1 } { 2 } + \log _ { 4 } \frac { 2 } { 4 }
200926-1550-55	\frac { 1 } { \sin ( x ) + 1 }
MfrDB2471	\frac { ( x + 3 ) ( x - 5 ) } { 3 ( x - 1 ) } > 0
75_Nina	c ^ { 2 } = a ^ { 2 } + b ^ { 2 } - 2 a b \cos C
TrainData2_22_sub_6	x _ { i } - x _ { i + 1 } + x _ { i + 2 }
formulaire037-equation033	\frac { z } { 1 } = \frac { x } { y }
KME2G3_27_sub_35	\log _ { 2 } \frac { 1 } { 2 } + \log _ { 4 } \frac { 2 } { 4 }
TrainData2_21_sub_6	x _ { i } - x _ { i + 1 } + x _ { i + 2 }
formulaire036-equation050	( 1 5 5 + 1 3 2 - 6 8 ) \div 6 1 = 3 . 5 9
formulaire008-equation000	6 0 - 1 3 6 \geq - 7 6
107_herbert	a ^ { 2 } + b ^ { 2 } = ( a + b i ) ( a - b i )
formulaire036-equation055	( ( 8 \times 9 6 ) \times ( 9 6 + 1 9 3 ) ) - 1 1 3 \geq 2 2 1 8 3 8
200924-1312-55	\frac { 1 } { \sin ( x ) + 1 }
TrainData2_16_sub_33	\log _ { 2 } 8 + \log _ { 3 } 9 + \log _ { 4 } 1 6
200923-1254-19	x ^ { 2 } + y ^ { 2 } = z ^ { 2 }
formulaire006-equation029	r = \frac { p } { 2 \pi }
formulaire009-equation008	\frac { 2 } { \frac { 1 } { x } + \frac { 1 } { y } }
formulaire028-equation006	\frac { \sqrt { 5 } - 1 } { 4 }
TrainData2_10_sub_63	\frac { 1 } { a } F ( a x + b ) + C
formulaire004-equation059	( 2 n + 1 ) ^ { 2 } = 8 m ^ { 2 } + 1
formulaire013-equation070	4 2 \times 1 7 2 \geq 7 2 2 3
formulaire028-equation045	1 3 8 / ( 1 7 8 / ( 1 2 8 + 1 6 6 ) ) \geq 2 2 7
MfrDB1892	\sin x = \sin ( x + 2 \pi k )
MfrDB3416	a _ { n } = a _ { 1 } \cdot q ^ { n - 1 }
KME2G3_1_sub_35	\log _ { 2 } \frac { 1 } { 2 } + \log _ { 4 } \frac { 2 } { 4 }
formulaire033-equation050	1 2 7 + 8 5 - 1 9 8 \geq 1 3
TrainData2_17_sub_63	\frac { 1 } { a } F ( a x + b ) + C
formulaire033-equation064	v _ { x } = v _ { 0 } \cos \alpha
KME2G3_16_sub_26	x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
formulaire004-equation046	\frac { b - a } { n } \leq \alpha
KME2G3_12_sub_28	z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
KME2G3_8_sub_35	\log _ { 2 } \frac { 1 } { 2 } + \log _ { 4 } \frac { 2 } { 4 }
formulaire035-equation001	1 2 4 5 \times 2 6 - 2 7 9 \times 1 1 6 = 6
MfrDB2919	( x + 1 ) ^ { n + 1 } = ( x + 1 ) ( x + 1 ) ^ { n }
118_leissi	P ( x ) = \sum \limits _ { i = 0 } ^ { n } a _ { j } x ^ { j }
TrainData2_0_sub_33	\log _ { 2 } 8 + \log _ { 3 } 9 + \log _ { 4 } 1 6
formulaire034-equation030	8 9 \times ( 1 6 3 \times 4 0 ) \leq 5 8 0 2 8 0
MfrDB3498	\frac { b } { a ^ { 2 } - a } - \frac { b } { a - 1 }
MfrDB2939	( x + 1 ) ^ { n + 1 } = ( x + 1 ) ( x + 1 ) ^ { n }
KME2G3_4_sub_26	x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
118_hirata	P ( x ) = \sum \limits _ { i = 0 } ^ { n } a _ { j } x ^ { j }
200923-1253-133	\frac { 2 - L } { - r + \frac { a } { R } }
108_leissi	a ^ { x } a ^ { y } = a ^ { x + y }
200923-1556-26	a + \frac { \sqrt { b + c } } { 2 }
KME2G3_7_sub_26	x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
TrainData2_3_sub_33	\log _ { 2 } 8 + \log _ { 3 } 9 + \log _ { 4 } 1 6
MfrDB0059	y = f ( a ) + \frac { f ( c ) - f ( a ) } { c - a } ( x - a )
formulaire006-equation016	x ^ { 2 } + x + 1 = 0
formulaire014-equation041	\frac { x y } { x } = \frac { y } { 1 }
formulaire020-equation050	1 8 9 \pm ( 1 2 4 \times 1 0 0 ) + 1 4 7
formulaire015-equation055	( 3 6 / ( 1 2 8 - 1 5 3 ) ) \times ( 1 1 2 / 2 2 ) = - 7 . 3 3
formulaire003-equation040	6 5 + ( ( 1 2 8 \times 7 7 ) + ( 1 9 / 5 9 ) ) \neq 5 5 6
MfrDB1280	s = s _ { 0 } t + \frac { 1 } { 2 } a t ^ { 2 }
formulaire030-equation025	9 \pm 9 8 - ( 2 8 \times 1 5 9 )
MfrDB3275	( x + 1 ) ^ { n + 1 } = ( x + 1 ) ( x + 1 ) ^ { n }
MfrDB2299	s _ { n } = \sum \limits _ { k = 1 } ^ { n } a _ { k }
formulaire021-equation010	6 0 - 1 4 2 - 5 8 \leq - 1 3 9
KME2G3_15_sub_35	\log _ { 2 } \frac { 1 } { 2 } + \log _ { 4 } \frac { 2 } { 4 }
formulaire037-equation015	1 6 5 \pm 1 1 7 - ( ( 1 7 \times 1 7 7 ) \times 1 2 4 )
formulaire011-equation036	z _ { 2 } = - ( y _ { 1 } + y _ { 3 } ) ( y _ { 2 } + y _ { 4 } )
formulaire022-equation065	( 4 1 + ( 1 1 4 \div 9 0 ) ) \times 6 9 \neq - 8 5 3 5
2009213-139-43	\frac { \pi r ^ { 2 } h } { 3 }
108_miguel	a ^ { x } a ^ { y } = a ^ { x + y }
TrainData2_24_sub_29	x ^ { i + 2 j \times k ^ { 3 } - 2 \frac { j } { i } }
MfrDB3444	s = s _ { 0 } t + \frac { 1 } { 2 } a t ^ { 2 }
TrainData2_5_sub_63	\frac { 1 } { a } F ( a x + b ) + C
MfrDB3070	\lim \limits _ { x \rightarrow c } f ( x ) = f ( c )
formulaire036-equation033	z ^ { 3 } - 6 z ^ { 2 } + 1 7 z - 3 6 = 0
formulaire030-equation054	2 7 q ^ { 2 } - 2 7 q + 1
200924-1331-287	\sum \limits _ { I = b } ^ { ( V ) } v + \gamma
TrainData2_2_sub_15	( x ^ { 3 } - x ^ { 2 } - x ) ( 2 x - 7 )
200926-1617-19	x ^ { 2 } + y ^ { 2 } = z ^ { 2 }
200923-1253-32	a x ^ { 4 } + b x + c = 0
76_user0	a = b \cos C + c \cos B
TrainData2_12_sub_29	x ^ { i + 2 j \times k ^ { 3 } - 2 \frac { j } { i } }
formulaire005-equation024	1 + 2 + 3 + \ldots + ( n - 1 ) + n
200924-1331-36	1 + \frac { \sqrt { a ^ { 2 } + 1 + b } } { 3 }
MfrDB1302	1 + \tan ^ { 2 } y = \frac { 1 } { \cos ^ { 2 } y }
formulaire034-equation048	x ^ { 3 } + 1 2 x ^ { 2 } - 9 x - 1 = 0
200923-1553-55	\frac { 1 } { \sin ( x ) + 1 }
MfrDB1839	v _ { p } = \sqrt { \frac { 2 k M _ { z } } { R _ { z } + h } } = \sqrt { 2 } v _ { k }
109_Frank	\sqrt [ x ] { \frac { a } { b } } = \frac { \sqrt [ x ] { a } } { \sqrt [ x ] { b } }
KME2G3_22_sub_26	x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
formulaire017-equation025	1 2 7 \times ( 1 4 9 \div 8 1 ) \geq 2 3 3
formulaire022-equation014	p _ { n + 1 } = a p _ { n } + ( 1 - b ) q _ { n }
200925-1126-18	a ^ { x } + b ^ { x } + \frac { c } { 2 }
formulaire031-equation020	( 1 4 9 + ( 2 2 / 8 8 ) ) - ( 5 8 / ( 1 8 / 4 ) ) = 1 3 6 . 3 6
formulaire030-equation035	1 6 2 \pm ( 8 2 \div 1 7 5 ) - 7 8
MfrDB1814	s = s _ { 0 } t + \frac { 1 } { 2 } a t ^ { 2 }
KME2G3_22_sub_35	\log _ { 2 } \frac { 1 } { 2 } + \log _ { 4 } \frac { 2 } { 4 }
MfrDB3080	x _ { 1 } = \frac { ( 1 - \frac { 2 } { \sqrt { N - 1 } } ) N } { L }
2009213-139-18	a ^ { x } + b ^ { x } + \frac { c } { 2 }
KME2G3_21_sub_30	\sum \limits _ { i = 2 n + 3 m } ^ { 1 0 } i x
200922-1017-34	\sum \limits _ { w = F } ^ { G } V + o
formulaire034-equation050	7 6 \pm ( 2 7 - 1 6 8 ) \div ( 1 9 2 + 1 3 8 - 1 5 9 )
KME2G3_20_sub_26	x _ { 1 } \times x _ { 2 } \times x _ { 3 } \times x _ { 4 } = X
KME2G3_22_sub_28	z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
formulaire033-equation070	2 8 + ( ( 1 7 3 + 1 2 ) \times 9 ) = 1 6 9 3
TrainData2_6_sub_6	x _ { i } - x _ { i + 1 } + x _ { i + 2 }
formulaire017-equation035	1 4 + 5 4 - 1 1 6 \neq - 1 2
118_fujita	P ( x ) = \sum \limits _ { i = 0 } ^ { n } a _ { j } x ^ { j }
200924-1312-63	\sqrt { x + N } ^ { B _ { P } + l }
KME2G3_3_sub_28	z _ { 1 } ^ { 2 } + 1 ^ { z } - z _ { 2 } ^ { 2 } + 2 ^ { z }
200923-131-61	k ^ { 3 } + 1 4 k ^ { 2 } - 1 3 2 k + 1 7 8 9
formulaire023-equation055	( 7 - 7 7 - 7 8 ) / 1 6 6 \geq 0
formulaire007-equation070	7 6 \pm ( 1 0 2 + 1 5 0 ) \times 5 6
MfrDB2451	1 + t g ^ { 2 } y = \frac { 1 } { \cos ^ { 2 } y }
KME2G3_6_sub_35	\log _ { 2 } \frac { 1 } { 2 } + \log _ { 4 } \frac { 2 } { 4 }
MfrDB2020	t g 2 x = \frac { 2 \cdot t g x } { 1 - t g ^ { 2 } x }
